학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000010912,금천중학교,중학교,1952-02-10,공립,본교,운영,경상북도 청도군 금천면 동곡리 1035,경상북도 청도군 금천면 선암로 574-11 (금천면. 금천중고등학교),8750000,경상북도교육청,8911000,경상북도청도교육지원청,2013-11-29,2022-10-06,35.68807595,128.8947636,2023-03-22
B000025146,별빛중학교,중학교,2016-03-01,공립,본교,운영,경상북도 영천시 고경면 해선리 240-3,경상북도 영천시 고경면 월천길 1-27 . 별빛중학교 (고경면),8750000,경상북도교육청,8821000,경상북도영천교육지원청,2013-11-29,2022-10-06,36.00232912,129.0432455,2023-03-22
B000010932,인평중학교,중학교,2009-03-01,공립,본교,운영,경상북도 칠곡군 북삼읍 인평리 518-2,경상북도 칠곡군 북삼읍 북삼로 223 (북삼읍),8750000,경상북도교육청,8941000,경상북도칠곡교육지원청,2013-11-29,2022-10-06,36.06259352,128.3356923,2023-03-22
B000010756,복주여자중학교,중학교,1981-12-08,공립,본교,운영,경상북도 안동시 당북동 333-1,경상북도 안동시 안기천로 58 (당북동. 복주여자중학교),8750000,경상북도교육청,8791000,경상북도안동교육지원청,2013-11-29,2022-10-06,36.56259417,128.7180369,2023-03-22
B000010913,이서중학교,중학교,1952-03-01,사립,본교,운영,경상북도 청도군 이서면 서원리 331-3,경상북도 청도군 이서면 학산1길 22 (이서면. 이서고등학교.이서중학교),8750000,경상북도교육청,8911000,경상북도청도교육지원청,2013-11-29,2022-10-06,35.66249467,128.6684614,2023-03-22
B000010864,경산제일중학교,중학교,1970-03-01,사립,본교,운영,경상북도 경산시 자인면 동부리 208,경상북도 경산시 자인면 원효로 851-16 자인여자중학교 (자인면),8750000,경상북도교육청,8851000,경상북도경산교육지원청,2013-11-29,2022-10-06,35.81594134,128.8278876,2023-03-22
B000023752,운남중학교,중학교,2021-03-01,공립,본교,운영,경상북도 김천시 율곡동 370,경상북도 김천시 우래1길 7 (율곡동. 운남중학교),8750000,경상북도교육청,8781000,경상북도김천교육지원청,2013-11-29,2022-10-06,36.12200032,128.1791173,2023-03-22
B000010931,장곡중학교,중학교,2001-03-06,공립,본교,운영,경상북도 칠곡군 석적읍 중리 246,경상북도 칠곡군 석적읍 남중리8길 13 . 장곡중학교 (석적읍),8750000,경상북도교육청,8941000,경상북도칠곡교육지원청,2013-11-29,2022-10-06,36.07345548,128.4150883,2023-03-22
B000010952,춘양중학교,중학교,1951-05-27,공립,본교,운영,경상북도 봉화군 춘양면 서동리 83-1,경상북도 봉화군 춘양면 서원촌길 8-14 (춘양면),8750000,경상북도교육청,8961000,경상북도봉화교육지원청,2013-11-29,2022-10-06,36.94786297,128.914111,2023-03-22
B000010964,기성중학교,중학교,1969-10-14,공립,본교,운영,경상북도 울진군 기성면 기성리 288,경상북도 울진군 기성면 기성본길 58-5 . 기성중학교 (기성면. 기성중학교),8750000,경상북도교육청,8971000,경상북도울진교육지원청,2013-11-29,2022-10-06,36.79929299,129.4572006,2023-03-22
B000010963,온정중학교,중학교,1971-04-08,공립,본교,운영,경상북도 울진군 온정면 소태리 799-1,경상북도 울진군 온정면 온정학교길 61 (온정면. 온정중교),8750000,경상북도교육청,8971000,경상북도울진교육지원청,2013-11-29,2022-10-06,36.72653526,129.3466575,2023-03-22
B000010760,경안여자중학교,중학교,1965-03-09,사립,본교,운영,경상북도 안동시 금곡동 1-3,경상북도 안동시 금곡윗4길 47 (금곡동. 경안여자중학교),8750000,경상북도교육청,8791000,경상북도안동교육지원청,2013-11-29,2022-10-06,36.57250005,128.7231447,2023-03-22
B000010948,봉화중학교,중학교,1948-08-06,공립,본교,운영,경상북도 봉화군 봉화읍 삼계리 40,경상북도 봉화군 봉화읍 내성로 138 (봉화읍),8750000,경상북도교육청,8961000,경상북도봉화교육지원청,2013-11-29,2022-10-06,36.89603742,128.7399693,2023-03-22
B000010856,문명중학교,중학교,2005-03-01,사립,본교,운영,경상북도 경산시 백천동 산16,경상북도 경산시 경청로230길 30 (백천동),8750000,경상북도교육청,8851000,경상북도경산교육지원청,2013-11-29,2022-10-06,35.80503215,128.7451394,2023-03-22
B000010955,소천중학교,중학교,1955-06-18,공립,본교,운영,경상북도 봉화군 소천면 현동리 701-10,경상북도 봉화군 소천면 소천로 1237 (소천면),8750000,경상북도교육청,8961000,경상북도봉화교육지원청,2013-11-29,2022-10-06,36.94233953,129.0006938,2023-03-22
B000010761,풍산중학교,중학교,1947-09-16,사립,본교,운영,경상북도 안동시 풍산읍 안교리 320,경상북도 안동시 풍산읍 풍산중앙길 39 . 풍산중학교 (풍산읍),8750000,경상북도교육청,8791000,경상북도안동교육지원청,2013-11-29,2022-10-06,36.58414665,128.5665358,2023-03-22
B000010767,일직중학교,중학교,1953-06-02,사립,본교,운영,경상북도 안동시 일직면 귀미리 1016-3,경상북도 안동시 일직면 하나들길 13 (일직면. 일직중학교),8750000,경상북도교육청,8791000,경상북도안동교육지원청,2013-11-29,2022-10-06,36.4706707,128.6638115,2023-03-22
B000010950,물야중학교,중학교,1971-03-22,공립,본교,운영,경상북도 봉화군 물야면 오록리 465,경상북도 봉화군 물야면 오록4길 11 (물야면.물야중학교),8750000,경상북도교육청,8961000,경상북도봉화교육지원청,2013-11-29,2022-10-06,36.97811734,128.7387726,2023-03-22
B000010962,후포중학교,중학교,1955-03-31,공립,본교,운영,경상북도 울진군 후포면 후포리 1015,경상북도 울진군 후포면 후포로 41 . 후포중고등학교 (후포면. 후포중고등학교),8750000,경상북도교육청,8971000,경상북도울진교육지원청,2013-11-29,2022-10-06,36.68031187,129.4459375,2023-03-22
B000010902,영해중학교,중학교,1951-10-30,공립,본교,운영,경상북도 영덕군 영해면 괴시리 115,경상북도 영덕군 영해면 예주길 135 (영해면. 영해중고교),8750000,경상북도교육청,8901000,경상북도영덕교육지원청,2013-11-29,2022-10-06,36.54233749,129.4132252,2023-03-22
B000010697,포항제철중학교,중학교,1980-03-06,사립,본교,운영,경상북도 포항시 남구 지곡동 52,경상북도 포항시 남구 지곡로 150 (지곡동.포항제철중학교),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.02230834,129.3270264,2023-03-22
B000010705,대보중학교,중학교,1970-03-13,공립,본교,운영,경상북도 포항시 남구 호미곶면 대보리 214,경상북도 포항시 남구 호미곶면 해맞이로 122 . 대보중학교 (호미곶면),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.07565376,129.5672519,2023-03-22
B000010935,순심여자중학교,중학교,1946-05-23,사립,본교,운영,경상북도 칠곡군 왜관읍 왜관리 776-9,경상북도 칠곡군 왜관읍 남부1길 22 (왜관읍),8750000,경상북도교육청,8941000,경상북도칠곡교육지원청,2013-11-29,2022-10-06,35.98647718,128.3958253,2023-03-22
B000010708,송라중학교,중학교,1971-03-05,공립,본교,운영,경상북도 포항시 북구 송라면 광천리 184,경상북도 포항시 북구 송라면 광천길 36 (송라면. 송라중학교),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.22834872,129.3543734,2023-03-22
B000010933,북삼중학교,중학교,1991-09-01,공립,본교,운영,경상북도 칠곡군 북삼읍 인평리 143,경상북도 칠곡군 북삼읍 북삼로 29 (북삼읍. 북삼중학교),8750000,경상북도교육청,8941000,경상북도칠곡교육지원청,2013-11-29,2022-10-06,36.06994201,128.342881,2023-03-22
B000010691,창포중학교,중학교,1994-03-01,공립,본교,운영,경상북도 포항시 북구 창포동 647,경상북도 포항시 북구 새천년대로1075번길 30 (창포동.창포중학교),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.06592065,129.3690432,2023-03-22
B000010961,죽변중학교,중학교,1955-05-29,공립,본교,운영,경상북도 울진군 죽변면 죽변리 215,경상북도 울진군 죽변면 죽변4길 19 . 죽변중학교 (죽변면),8750000,경상북도교육청,8971000,경상북도울진교육지원청,2013-11-29,2022-10-06,37.06528825,129.4213289,2023-03-22
B000010956,석포중학교,중학교,1975-09-12,공립,본교,운영,경상북도 봉화군 석포면 석포리 356-2,경상북도 봉화군 석포면 석포로 226-1 (석포면. 석포중학교),8750000,경상북도교육청,8961000,경상북도봉화교육지원청,2013-11-29,2022-10-06,37.0504648,129.0670263,2023-03-22
B000010801,대영중학교,중학교,1969-03-15,사립,본교,운영,경상북도 영주시 휴천동 1770,경상북도 영주시 구성로150번길 45 (휴천동),8750000,경상북도교육청,8811000,경상북도영주교육지원청,2013-11-29,2022-10-06,36.8089799,128.6322246,2023-03-22
B000010696,동지여자중학교,중학교,1966-03-01,사립,본교,운영,경상북도 포항시 북구 용흥동 511,경상북도 포항시 북구 용흥로 123 (용흥동),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.03860468,129.3467246,2023-03-22
B000010723,월성중학교,중학교,1961-04-03,사립,본교,운영,경상북도 경주시 충효동 549-6,경상북도 경주시 충효7길 19 월성중학교 (충효동. 경주정보고등학교월성중학교),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.84182328,129.1763,2023-03-22
B000010826,남산중학교,중학교,1950-05-25,사립,본교,운영,경상북도 상주시 낙양동 388,경상북도 상주시 낙양1길 29 (낙양동. 남산중학교),8750000,경상북도교육청,8831000,경상북도상주교육지원청,2013-11-29,2022-10-06,36.40665006,128.1462224,2023-03-22
B000010725,근화여자중학교,중학교,1950-05-03,사립,본교,운영,경상북도 경주시 용강동 870,경상북도 경주시 승삼2길 55 . 근화여자중학교 (용강동. 근화여자고등학교근화여자중학교),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.87058466,129.2273172,2023-03-22
B000010884,탑리여자중학교,중학교,1966-03-30,사립,본교,운영,경상북도 의성군 금성면 탑리리 1381-2,경상북도 의성군 금성면 탑리4길 25-6 (금성면),8750000,경상북도교육청,8871000,경상북도의성교육지원청,2013-11-29,2022-10-06,36.25576021,128.6836772,2023-03-22
B000010690,포항항도중학교,중학교,1983-03-01,공립,본교,운영,경상북도 포항시 북구 죽도동 655-9,경상북도 포항시 북구 중흥로 170 (죽도동.포항항도중학교),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.01812132,129.3561063,2023-03-22
B000010724,선덕여자중학교,중학교,1968-05-06,사립,본교,운영,경상북도 경주시 인왕동 571-1,경상북도 경주시 양정로 20-11 (인왕동. 선덕여자고등학교선덕여자중학교),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.83862147,129.2242275,2023-03-22
B000010924,벽진중학교,중학교,1974-04-29,공립,본교,운영,경상북도 성주군 벽진면 수촌리 63-1,경상북도 성주군 벽진면 수촌5길 49-71 (벽진면),8750000,경상북도교육청,8931000,경상북도성주교육지원청,2013-11-29,2022-10-06,35.96103444,128.2128533,2023-03-22
B000010873,금성중학교,중학교,1946-09-01,공립,본교,운영,경상북도 의성군 금성면 탑리리 582,경상북도 의성군 금성면 금성현서로 41-66 (금성면.금성중고등학교),8750000,경상북도교육청,8871000,경상북도의성교육지원청,2013-11-29,2022-10-06,36.25441645,128.690147,2023-03-22
B000010799,영주여자중학교,중학교,1952-01-10,공립,본교,운영,경상북도 영주시 가흥동 521-12,경상북도 영주시 신재로 14 (가흥동. 영주여자중학교),8750000,경상북도교육청,8811000,경상북도영주교육지원청,2013-11-29,2022-10-06,36.83207264,128.6106174,2023-03-22
B000010828,함창중학교,중학교,1948-01-11,사립,본교,운영,경상북도 상주시 함창읍 구향리 181,경상북도 상주시 함창읍 함창중앙로 85 (함창읍),8750000,경상북도교육청,8831000,경상북도상주교육지원청,2013-11-29,2022-10-06,36.5678607,128.1739661,2023-03-22
B000010788,형남중학교,중학교,1992-02-29,공립,본교,운영,경상북도 구미시 형곡동 803-2,경상북도 구미시 형곡동로 1-3 (형곡동. 형남중학교),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.10110054,128.3358911,2023-03-22
B000010886,청송여자중학교,중학교,1974-05-14,사립,본교,운영,경상북도 청송군 청송읍 월막리 315,경상북도 청송군 청송읍 군청로 69 (청송읍. 청송여중고등학교),8750000,경상북도교육청,8881000,경상북도청송교육지원청,2013-11-29,2022-10-06,36.43586526,129.0587046,2023-03-22
B000010829,상지여자중학교,중학교,1970-03-02,사립,본교,운영,경상북도 상주시 함창읍 오동리 635,경상북도 상주시 함창읍 함창중앙로 176 (함창읍. 상지여자중.고등학교),8750000,경상북도교육청,8831000,경상북도상주교육지원청,2013-11-29,2022-10-06,36.5693225,128.1851504,2023-03-22
B000010909,모계중학교,중학교,1947-10-27,사립,본교,운영,경상북도 청도군 화양읍 범곡리 117,경상북도 청도군 화양읍 청화로 67 (화양읍.모계중학교),8750000,경상북도교육청,8911000,경상북도청도교육지원청,2013-11-29,2022-10-06,35.6494626,128.7359915,2023-03-22
B000010728,감포중학교,중학교,1945-11-10,공립,본교,운영,경상북도 경주시 감포읍 오류리 478-2,경상북도 경주시 감포읍 감포로12길 20 (감포읍.감포중학교감포종합중고등학교),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.81078851,129.5061535,2023-03-22
B000010842,문경중학교,중학교,1948-08-13,공립,본교,운영,경상북도 문경시 흥덕동 733-4,경상북도 문경시 중앙로 242 (흥덕동. 문경중학교),8750000,경상북도교육청,8841000,경상북도문경교육지원청,2013-11-29,2022-10-06,36.60597442,128.2059638,2023-03-22
B000010841,화북중학교,중학교,1954-02-28,공립,본교,운영,경상북도 상주시 화북면 용유리 340-1,경상북도 상주시 화북면 문장로 1682 (화북면. 화북중학교),8750000,경상북도교육청,8831000,경상북도상주교육지원청,2013-11-29,2022-10-06,36.55970701,127.9215608,2023-03-22
B000010681,대도중학교,중학교,1981-03-01,공립,본교,운영,경상북도 포항시 북구 환호동 493,경상북도 포항시 북구 삼호로509번길 12 (환호동.대도중학교),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.07284812,129.3965964,2023-03-22
B000010875,옥산중학교,중학교,1970-03-03,공립,본교,운영,경상북도 의성군 옥산면 구성리 408-1,경상북도 의성군 옥산면 금봉로 27 . 옥산중학교 (옥산면),8750000,경상북도교육청,8871000,경상북도의성교육지원청,2013-11-29,2022-10-06,36.3941915,128.8099059,2023-03-22
B000010812,성남여자중학교,중학교,1971-01-30,사립,본교,운영,경상북도 영천시 도동 213-1,경상북도 영천시 남촌길 17 (도동),8750000,경상북도교육청,8821000,경상북도영천교육지원청,2013-11-29,2022-10-06,35.9492794,128.9317962,2023-03-22
B000010888,안덕중학교,중학교,1948-12-10,공립,본교,운영,경상북도 청송군 안덕면 명당리 360-1,경상북도 청송군 안덕면 안덕로 65-3 (안덕면. 안덕중학교),8750000,경상북도교육청,8881000,경상북도청송교육지원청,2013-11-29,2022-10-06,36.28977234,128.9570134,2023-03-22
B000010903,강구중학교,중학교,1953-05-11,공립,본교,운영,경상북도 영덕군 강구면 삼사리 21,경상북도 영덕군 강구면 신강구1길 45-5 (강구면. 강구중학교),8750000,경상북도교육청,8901000,경상북도영덕교육지원청,2013-11-29,2022-10-06,36.35361053,129.3803591,2023-03-22
B000010865,군위중학교,중학교,1948-11-05,공립,본교,운영,경상북도 군위군 군위읍 정리 248-12,경상북도 군위군 군위읍 군청로 254-6 (군위읍. 군위고등학교),8750000,경상북도교육청,8861000,경상북도군위교육지원청,2013-11-29,2022-10-06,36.24547463,128.5697899,2023-03-22
B000010927,명인중학교,중학교,1970-05-13,사립,본교,운영,경상북도 성주군 선남면 도성리 1111-1,경상북도 성주군 선남면 도성2길 4 (선남면),8750000,경상북도교육청,8931000,경상북도성주교육지원청,2013-11-29,2022-10-06,35.88583823,128.3642206,2023-03-22
B000010793,무을중학교,중학교,1969-03-28,공립,본교,운영,경상북도 구미시 무을면 무등리 327,경상북도 구미시 무을면 무등2길 21-14 . 무을중학교 (무을면.무을중학교),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.25877943,128.1891946,2023-03-22
B000010942,용궁중학교,중학교,1952-01-09,공립,본교,운영,경상북도 예천군 용궁면 읍부리 251-3,경상북도 예천군 용궁면 읍부1길 33 (용궁면. 용궁중학교),8750000,경상북도교육청,8951000,경상북도예천교육지원청,2013-11-29,2022-10-06,36.61022138,128.2751173,2023-03-22
B000010957,춘양중학교서벽분교장,중학교,1971-03-20,공립,분교,운영,경상북도 봉화군 춘양면 서벽리 473-1,경상북도 봉화군 춘양면 춘양로 1490 (춘양면. 춘양중학교서벽분교),8750000,경상북도교육청,8961000,경상북도봉화교육지원청,2013-11-29,2022-10-06,37.01180323,128.8273753,2023-03-22
B000010831,청리중학교,중학교,1955-06-01,공립,본교,운영,경상북도 상주시 청리면 청하리 954-5,경상북도 상주시 청리면 청하3길 35-16 (청리면. 청리중학교),8750000,경상북도교육청,8831000,경상북도상주교육지원청,2013-11-29,2022-10-06,36.33130095,128.1275037,2023-03-22
B000010733,산내중학교,중학교,1965-03-15,공립,본교,운영,경상북도 경주시 산내면 의곡리 70-65,경상북도 경주시 산내면 문복로 1797-27 . 산내중학교 (산내면. 산내중학교),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.75291163,129.0467673,2023-03-22
B000010838,낙동중학교,중학교,1965-03-23,공립,본교,운영,경상북도 상주시 낙동면 낙동리 128-1,경상북도 상주시 낙동면 낙동3길 14-5 (낙동면.낙동중학교),8750000,경상북도교육청,8831000,경상북도상주교육지원청,2013-11-29,2022-10-06,36.3654791,128.3001767,2023-03-22
B000010845,산양중학교,중학교,1971-03-13,공립,본교,운영,경상북도 문경시 산양면 불암리 210,경상북도 문경시 산양면 불암1길 27 (산양면. 산양중학교),8750000,경상북도교육청,8841000,경상북도문경교육지원청,2013-11-29,2022-10-06,36.6133604,128.2555182,2023-03-22
B000010700,신흥중학교,중학교,1995-03-01,공립,본교,운영,경상북도 포항시 남구 오천읍 세계리 700-3,경상북도 포항시 남구 오천읍 장기로 1636 . 신흥중학교 (오천읍),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,35.96497037,129.4224437,2023-03-22
B000010844,점촌중학교,중학교,1955-04-08,사립,본교,운영,경상북도 문경시 모전동 600,경상북도 문경시 돈달산길 15 (모전동. 점촌중학교),8750000,경상북도교육청,8841000,경상북도문경교육지원청,2013-11-29,2022-10-06,36.59983852,128.1898244,2023-03-22
B000010904,축산중학교,중학교,1974-04-12,공립,본교,운영,경상북도 영덕군 축산면 도곡리 450,경상북도 영덕군 축산면 도곡1길 54 (축산면. 축산중학교),8750000,경상북도교육청,8901000,경상북도영덕교육지원청,2013-11-29,2022-10-06,36.51351428,129.4063797,2023-03-22
B000010883,삼성중학교,중학교,1955-05-20,사립,본교,운영,경상북도 의성군 단북면 노연리 377,경상북도 의성군 단북면 도안로 2133 (단북면. 삼성중학교),8750000,경상북도교육청,8871000,경상북도의성교육지원청,2013-11-29,2022-10-06,36.3892258,128.428132,2023-03-22
B000010802,영광여자중학교,중학교,1965-11-28,사립,본교,운영,경상북도 영주시 영주동 139,경상북도 영주시 두서길 120 (영주동. 영광여자중학교),8750000,경상북도교육청,8811000,경상북도영주교육지원청,2013-11-29,2022-10-06,36.83289851,128.6208221,2023-03-22
B000010776,구미신평중학교,중학교,1994-03-01,공립,본교,운영,경상북도 구미시 신평동 5-4,경상북도 구미시 신비로3길 37-14 . 구미신평중학교 (신평동),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.12688507,128.3634079,2023-03-22
B000010695,대동중학교,중학교,1969-03-03,사립,본교,운영,경상북도 포항시 북구 우현동 201-6,경상북도 포항시 북구 우창서길 34 (우현동.대동중학교),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.05831145,129.3571484,2023-03-22
B000010869,의흥중학교,중학교,1951-11-30,공립,본교,운영,경상북도 군위군 의흥면 읍내리 210-2,경상북도 군위군 의흥면 읍내길 89-32 (의흥중학교),8750000,경상북도교육청,8861000,경상북도군위교육지원청,2013-11-29,2022-10-06,36.17476864,128.7211368,2023-03-22
B000010781,인동중학교,중학교,1952-05-30,공립,본교,운영,경상북도 구미시 인의동 103,경상북도 구미시 여헌로14길 17 (인의동.인동중학교),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.10931541,128.4288808,2023-03-22
B000010742,한일여자중학교,중학교,1969-12-15,사립,본교,운영,경상북도 김천시 교동 527-1,경상북도 김천시 한일길 11-30 (교동 527-1),8750000,경상북도교육청,8781000,경상북도김천교육지원청,2013-11-29,2022-10-06,36.13774035,128.0958438,2023-03-22
B000010721,경주중학교,중학교,1938-04-20,사립,본교,운영,경상북도 경주시 황오동 13,경상북도 경주시 원효로 231 (황오동.경주중학교),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.84315899,129.2266807,2023-03-22
B000010928,수륜중학교,중학교,1966-11-17,사립,본교,운영,경상북도 성주군 수륜면 신파리 82,경상북도 성주군 수륜면 참별로 888 (수륜면),8750000,경상북도교육청,8931000,경상북도성주교육지원청,2013-11-29,2022-10-06,35.83081062,128.1964419,2023-03-22
B000010735,화랑중학교,중학교,2008-11-05,공립,본교,운영,경상북도 경주시 현곡면 오류리 191,경상북도 경주시 현곡면 등나무길 18-8 (현곡면),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.87426195,129.2035169,2023-03-22
B000010805,금계중학교,중학교,1953-03-14,사립,본교,운영,경상북도 영주시 풍기읍 금계리 279-2,경상북도 영주시 풍기읍 금계로 147 (풍기읍),8750000,경상북도교육청,8811000,경상북도영주교육지원청,2013-11-29,2022-10-06,36.88578033,128.524135,2023-03-22
B000010694,포항영신중학교,중학교,1994-03-07,사립,본교,운영,경상북도 포항시 북구 우현동 산63-13,경상북도 포항시 북구 소티재로 107 . 포항영신중학교 (우현동),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.0589525,129.3514642,2023-03-22
B000010779,오태중학교,중학교,2007-03-01,공립,본교,운영,경상북도 구미시 오태동 613-2,경상북도 구미시 금오대로24길 33 (오태동. 오태중학교),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.07176063,128.3540672,2023-03-22
B000010703,흥해중학교,중학교,1948-09-15,사립,본교,운영,경상북도 포항시 북구 흥해읍 옥성리 168-1,경상북도 포항시 북구 흥해읍 동해대로 1525 (흥해읍. 흥해중학교),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.10921794,129.3411709,2023-03-22
B000010778,상모중학교,중학교,2002-03-01,공립,본교,운영,경상북도 구미시 임은동 436-1,경상북도 구미시 상사동로 70 (임은동. 상모중학교),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.09083563,128.3596617,2023-03-22
B000010881,안계중학교,중학교,1947-03-01,공립,본교,운영,경상북도 의성군 안계면 용기리 1009-1,경상북도 의성군 안계면 용기5길 23 (안계면. 안계중학교),8750000,경상북도교육청,8871000,경상북도의성교육지원청,2013-11-29,2022-10-06,36.38686212,128.4309268,2023-03-22
B000010832,내서중학교,중학교,1975-04-15,공립,본교,운영,경상북도 상주시 내서면 낙서리 2,경상북도 상주시 내서면 영남제일로 3239 (내서면. 내서중학교),8750000,경상북도교육청,8831000,경상북도상주교육지원청,2013-11-29,2022-10-06,36.41339717,128.0184187,2023-03-22
B000010680,포항중학교,중학교,1943-03-31,공립,본교,운영,경상북도 포항시 북구 학산동 205-1,경상북도 포항시 북구 학산로 45 (학산동),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.04956264,129.3660959,2023-03-22
B000010797,도개중학교,중학교,1949-11-04,사립,본교,운영,경상북도 구미시 도개면 궁기리 754,경상북도 구미시 도개면 도안로 120 (도개면),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.30151219,128.3301698,2023-03-22
B000010798,영주중학교,중학교,1943-05-05,공립,본교,운영,경상북도 영주시 휴천동 704-7,경상북도 영주시 남간로 29 (휴천동. 영주중학교),8750000,경상북도교육청,8811000,경상북도영주교육지원청,2013-11-29,2022-10-06,36.82000404,128.6320371,2023-03-22
B000010717,경주여자중학교,중학교,1946-09-27,공립,본교,운영,경상북도 경주시 서악동 255,경상북도 경주시 태종로 613-12 (서악동),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.83947751,129.1951452,2023-03-22
B000010726,안강중학교,중학교,1949-09-30,공립,본교,운영,경상북도 경주시 안강읍 안강리 597-4,경상북도 경주시 안강읍 안강중앙로 269 . 안강중학교 (안강읍),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.99284494,129.2305253,2023-03-22
B000010771,금오중학교,중학교,1980-03-01,공립,본교,운영,경상북도 구미시 임은동 136-3,경상북도 구미시 왕산로 90 (임은동),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.08528382,128.3703889,2023-03-22
B000010939,예천중학교,중학교,1949-09-01,공립,본교,운영,경상북도 예천군 예천읍 남본리 60,경상북도 예천군 예천읍 예천중앞길 7 (예천읍),8750000,경상북도교육청,8951000,경상북도예천교육지원청,2013-11-29,2022-10-06,36.65176852,128.4603687,2023-03-22
