학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000010843,문경여자중학교,중학교,1971-03-01,공립,본교,운영,경상북도 문경시 모전동 513,경상북도 문경시 돈달로 15 (모전동. 문경여자중학교),8750000,경상북도교육청,8841000,경상북도문경교육지원청,2013-11-29,2022-10-06,36.5956739,128.1898857,2023-03-22
B000010807,부석중학교,중학교,1954-06-17,공립,본교,운영,경상북도 영주시 부석면 소천리 501-1,경상북도 영주시 부석면 부석로 29 (부석면),8750000,경상북도교육청,8811000,경상북도영주교육지원청,2013-11-29,2022-10-06,36.97753241,128.6528943,2023-03-22
B000010720,계림중학교,중학교,1986-03-01,공립,본교,운영,경상북도 경주시 황성동 469-8,경상북도 경주시 용담로 68 (황성동. 계림중학교),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.86411253,129.214146,2023-03-22
B000010706,대송중학교,중학교,1995-09-01,공립,본교,운영,경상북도 포항시 남구 대송면 남성리 83-5,경상북도 포항시 남구 대송면 남성길 100 . 대송중학교 (대송면),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,35.97786663,129.3595369,2023-03-22
B000010918,다산중학교,중학교,1957-04-07,사립,본교,운영,경상북도 고령군 다산면 월성리 210,경상북도 고령군 다산면 다산로 443 (다산면) 다산중학교,8750000,경상북도교육청,8921000,경상북도고령교육지원청,2013-11-29,2022-10-06,35.81511901,128.4287221,2023-03-22
B000010729,안강여자중학교,중학교,1964-03-02,사립,본교,운영,경상북도 경주시 안강읍 산대리 1855-3,경상북도 경주시 안강읍 화전길 62-8 . 안강여자중학교 (안강읍),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.99333192,129.2108268,2023-03-22
B000010711,장기중학교,중학교,1949-09-15,사립,본교,운영,경상북도 포항시 남구 장기면 임중리 331-2,경상북도 포항시 남구 장기면 읍내길 53 (장기면.장기중학교),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,35.89221542,129.4927966,2023-03-22
B000010731,양남중학교,중학교,1947-11-01,공립,본교,운영,경상북도 경주시 양남면 하서리 651,경상북도 경주시 양남면 양남로 325-3 (양남면. 양남중학교),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.67412465,129.4607583,2023-03-22
B000010806,소수중학교,중학교,1953-09-01,공립,본교,운영,경상북도 영주시 순흥면 읍내리 370-1,경상북도 영주시 순흥면 순흥로 24 (순흥면. 소수중학교),8750000,경상북도교육청,8811000,경상북도영주교육지원청,2013-11-29,2022-10-06,36.91253449,128.5775449,2023-03-22
B000010890,진성중학교,중학교,1963-04-15,사립,본교,운영,경상북도 청송군 진보면 이촌리 596,경상북도 청송군 진보면 못안길 33 (진보면.진성중학교),8750000,경상북도교육청,8881000,경상북도청송교육지원청,2013-11-29,2022-10-06,36.53311296,129.0340548,2023-03-22
B000010925,용암중학교,중학교,1954-06-07,공립,본교,운영,경상북도 성주군 용암면 본리리 724,경상북도 성주군 용암면 상성로 222 (용암면.용암중학교),8750000,경상북도교육청,8931000,경상북도성주교육지원청,2013-11-29,2022-10-06,35.84136913,128.314491,2023-03-22
B000010850,가은중학교,중학교,1953-09-01,공립,본교,운영,경상북도 문경시 가은읍 왕능리 218,경상북도 문경시 가은읍 가은로 205 . 가은중학교 (가은읍.가은고등학교),8750000,경상북도교육청,8841000,경상북도문경교육지원청,2013-11-29,2022-10-06,36.64547535,128.0711654,2023-03-22
B000010837,은척중학교,중학교,1971-03-11,공립,본교,운영,경상북도 상주시 은척면 우기리 500,경상북도 상주시 은척면 우기1길 10 (은척면),8750000,경상북도교육청,8831000,경상북도상주교육지원청,2013-11-29,2022-10-06,36.53817356,128.0626337,2023-03-22
B000010734,양북중학교,중학교,1952-08-10,공립,본교,운영,경상북도 경주시 양북면 어일리 701,경상북도 경주시 문무대왕면 어일남길 2 (문무대왕면. 양북중학교양북초등학교),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.785592,129.4442385,2023-03-22
B000010813,금호여자중학교,중학교,1971-12-29,공립,본교,운영,경상북도 영천시 금호읍 대미리 930-23,경상북도 영천시 금호읍 성천앞길 112-53 (금호읍),8750000,경상북도교육청,8821000,경상북도영천교육지원청,2013-11-29,2022-10-06,35.93945644,128.8786471,2023-03-22
B000010834,화동중학교,중학교,1970-03-07,공립,본교,운영,경상북도 상주시 화동면 이소리 323,경상북도 상주시 화동면 이소3길 86-6 (화동면.화동중교),8750000,경상북도교육청,8831000,경상북도상주교육지원청,2013-11-29,2022-10-06,36.3884768,127.9587288,2023-03-22
B000010823,산동중학교,중학교,1947-11-10,사립,본교,운영,경상북도 영천시 화남면 삼창리 86,경상북도 영천시 화남면 천문로 1709 산동중학교,8750000,경상북도교육청,8821000,경상북도영천교육지원청,2013-11-29,2022-10-06,36.06836167,128.897874,2023-03-22
B000010684,포항이동중학교,중학교,2003-03-01,공립,본교,운영,경상북도 포항시 남구 이동 664,경상북도 포항시 남구 대이로 170 (이동.포항이동중학교),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.03035784,129.340069,2023-03-22
B000010785,봉곡중학교,중학교,2003-03-01,공립,본교,운영,경상북도 구미시 봉곡동 51,경상북도 구미시 봉곡서로11안길 9-8 (봉곡동.봉곡중학교),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.15883003,128.3045998,2023-03-22
B000010679,포항포은중학교,중학교,2012-03-01,공립,본교,운영,경상북도 포항시 남구 오천읍 원리 982,경상북도 포항시 남구 오천읍 냉천로340번길 30 . 포항포은중학교 (오천읍),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,35.96559626,129.4046146,2023-03-22
B000010868,군위중학교우보분교장,중학교,1967-11-29,공립,분교,운영,경상북도 군위군 우보면 이화리 1414-24,경상북도 군위군 우보면 솔밭길 74 (우보면),8750000,경상북도교육청,8861000,경상북도군위교육지원청,2013-11-29,2022-10-06,36.1875361,128.6665367,2023-03-22
B000010847,문경서중학교,중학교,1949-12-15,공립,본교,운영,경상북도 문경시 문경읍 상리 351,경상북도 문경시 문경읍 문경서중길 1 (문경읍. 문경서중학교),8750000,경상북도교육청,8841000,경상북도문경교육지원청,2013-11-29,2022-10-06,36.73977014,128.1061611,2023-03-22
B000010827,성신여자중학교,중학교,1967-03-10,사립,본교,운영,경상북도 상주시 계산동 330-1,경상북도 상주시 북천로 117 (계산동. 성신여자중학교),8750000,경상북도교육청,8831000,경상북도상주교육지원청,2013-11-29,2022-10-06,36.42809793,128.1635092,2023-03-22
B000010809,영천중학교,중학교,1946-10-10,공립,본교,운영,경상북도 영천시 창구동 산1-3,경상북도 영천시 중앙동1길 126 (문내동),8750000,경상북도교육청,8821000,경상북도영천교육지원청,2013-11-29,2022-10-06,35.97489339,128.928862,2023-03-22
B000010739,김천중학교,중학교,1931-05-09,사립,본교,운영,경상북도 김천시 부곡동 777-1,경상북도 김천시 송설로 90 . 김천중학교 (부곡동. 김천중고등학교),8750000,경상북도교육청,8781000,경상북도김천교육지원청,2013-11-29,2022-10-06,36.12343109,128.0939955,2023-03-22
B000010895,영양중학교,중학교,1946-10-03,공립,본교,운영,경상북도 영양군 영양읍 서부리 540,경상북도 영양군 영양읍 중앙로 81 영양중학교(영양읍. 영양중고등학교 ),8750000,경상북도교육청,8891000,경상북도영양교육지원청,2013-11-29,2022-10-06,36.66142713,129.1112403,2023-03-22
B000010855,사동중학교,중학교,2003-03-01,공립,본교,운영,경상북도 경산시 사동 660,경상북도 경산시 백양로33길 31 (사동. 사동중학교),8750000,경상북도교육청,8851000,경상북도경산교육지원청,2013-11-29,2022-10-06,35.81400185,128.7590562,2023-03-22
B000010862,자인중학교,중학교,1948-10-01,공립,본교,운영,경상북도 경산시 자인면 북사리 242,경상북도 경산시 자인면 일연로 93 (자인면. 경북기계금속고등학교),8750000,경상북도교육청,8851000,경상북도경산교육지원청,2013-11-29,2022-10-06,35.81989055,128.8217723,2023-03-22
B000010854,삼성현중학교,중학교,2006-03-01,공립,본교,운영,경상북도 경산시 백천동 591-2,경상북도 경산시 경청로216길 17 (백천동. 삼성현중학교),8750000,경상북도교육청,8851000,경상북도경산교육지원청,2013-11-29,2022-10-06,35.80114113,128.7401211,2023-03-22
B000010698,구룡포중학교,중학교,1948-03-01,공립,본교,운영,경상북도 포항시 남구 구룡포읍 구룡포리 199-30,경상북도 포항시 남구 구룡포읍 호미로 341 . (구룡포읍. 구룡포중학교),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,35.99179076,129.5659125,2023-03-22
B000010737,김천여자중학교,중학교,1935-04-02,공립,본교,운영,경상북도 김천시 성내동 51,경상북도 김천시 자산로 168 (성내동),8750000,경상북도교육청,8781000,경상북도김천교육지원청,2013-11-29,2022-10-06,36.12577398,128.1191369,2023-03-22
B000010897,석보중학교,중학교,1964-04-06,공립,본교,운영,경상북도 영양군 석보면 원리리 142-1,경상북도 영양군 석보면 석보로 572-6 (석보면. 석보중학교),8750000,경상북도교육청,8891000,경상북도영양교육지원청,2013-11-29,2022-10-06,36.55265804,129.1355329,2023-03-22
B000010860,하양여자중학교,중학교,1973-04-20,사립,본교,운영,경상북도 경산시 하양읍 대학리 100,경상북도 경산시 하양읍 지식산업로8길 21 . 하양여자중학교 (하양읍. 하양여자고등학교),8750000,경상북도교육청,8851000,경상북도경산교육지원청,2013-11-29,2022-10-06,35.92967651,128.826076,2023-03-22
B000010965,매화중학교,중학교,1953-04-24,공립,본교,운영,경상북도 울진군 매화면 매화리 1141,경상북도 울진군 매화면 매화1길 71-6 (매화면),8750000,경상북도교육청,8971000,경상북도울진교육지원청,2013-11-29,2022-10-06,36.91225713,129.3811157,2023-03-22
B000010780,천생중학교,중학교,2007-03-01,공립,본교,운영,경상북도 구미시 구평동 474-2,경상북도 구미시 인동가산로 250-33 (구평동. 천생중학교),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.09007828,128.4377035,2023-03-22
B000010936,약목중학교,중학교,1955-06-10,공립,본교,운영,경상북도 칠곡군 약목면 복성리 777,경상북도 칠곡군 약목면 복성8길 20 (약목면. 약목중학교),8750000,경상북도교육청,8941000,경상북도칠곡교육지원청,2013-11-29,2022-10-06,36.03537499,128.3604432,2023-03-22
B000010713,기계중학교기북분교장,중학교,1970-03-02,공립,분교,운영,경상북도 포항시 북구 기북면 용기리 74,경상북도 포항시 북구 기북면 기북로 469 (기북면. 기계중학교 기북분교장),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.13131831,129.1671005,2023-03-22
B000010910,풍각중학교,중학교,1952-04-01,공립,본교,운영,경상북도 청도군 풍각면 송서리 553-6,경상북도 청도군 풍각면 헐티로 185 (풍각면. 풍각중학교),8750000,경상북도교육청,8911000,경상북도청도교육지원청,2013-11-29,2022-10-06,35.64122493,128.6207782,2023-03-22
B000010814,금호중학교,중학교,1951-10-04,사립,본교,운영,경상북도 영천시 금호읍 교대리 172-1,경상북도 영천시 금호읍 교대길 8-18 (금호읍),8750000,경상북도교육청,8821000,경상북도영천교육지원청,2013-11-29,2022-10-06,35.93238187,128.8736677,2023-03-22
B000010765,북후중학교,중학교,1952-05-01,공립,본교,운영,경상북도 안동시 북후면 장기리 816,경상북도 안동시 북후면 단풍길 5-8 (북후면. 북후중학교),8750000,경상북도교육청,8791000,경상북도안동교육지원청,2013-11-29,2022-10-06,36.68092819,128.6989439,2023-03-22
B000010857,경산여자중학교,중학교,1954-04-12,사립,본교,운영,경상북도 경산시 옥곡동 7,경상북도 경산시 경산로 91 (옥곡동),8750000,경상북도교육청,8851000,경상북도경산교육지원청,2013-11-29,2022-10-06,35.8177642,128.7299454,2023-03-22
B000010774,구미여자중학교,중학교,1964-03-05,공립,본교,운영,경상북도 구미시 원평동 404,경상북도 구미시 금오산로 162 . (원평동 404) (원평동. 구미여자중학교),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.12523333,128.3269776,2023-03-22
B000010796,오상중학교,중학교,1945-10-16,사립,본교,운영,경상북도 구미시 장천면 상장리 700,경상북도 구미시 장천면 강동로 164 . 오상중학교 (장천면),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.12502535,128.4961942,2023-03-22
B000010896,영양여자중학교,중학교,1973-03-04,사립,본교,운영,경상북도 영양군 영양읍 동부리 5,경상북도 영양군 영양읍 영양창수로 141 (영양읍),8750000,경상북도교육청,8891000,경상북도영양교육지원청,2013-11-29,2022-10-06,36.66188808,129.1297626,2023-03-22
B000010915,고령중학교,중학교,1947-11-08,공립,본교,운영,경상북도 고령군 대가야읍 쾌빈리 106-5,경상북도 고령군 대가야읍 가야금길 20 (대가야읍. 고령중학교),8750000,경상북도교육청,8921000,경상북도고령교육지원청,2013-11-29,2022-10-06,35.74083826,128.2720685,2023-03-22
B000010747,감문중학교,중학교,1953-04-23,공립,본교,운영,경상북도 김천시 감문면 삼성리 676,경상북도 김천시 감문면 감문로 1113 (감문면. 감문중학교),8750000,경상북도교육청,8781000,경상북도김천교육지원청,2013-11-29,2022-10-06,36.21758894,128.1861782,2023-03-22
B000010794,산동중학교,중학교,1972-03-01,공립,본교,운영,경상북도 구미시 산동면 동곡리 933,경상북도 구미시 산동읍 강동로 998 (산동읍. 산동중학교),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.16872002,128.4402807,2023-03-22
B000010937,신동중학교,중학교,1981-03-04,공립,본교,운영,경상북도 칠곡군 지천면 신리 산15-9,경상북도 칠곡군 지천면 신동로 99 (지천면),8750000,경상북도교육청,8941000,경상북도칠곡교육지원청,2013-11-29,2022-10-06,35.95843099,128.483912,2023-03-22
B000010688,대흥중학교,중학교,1992-03-05,공립,본교,운영,경상북도 포항시 북구 용흥동 418-9,경상북도 포항시 북구 용흥로292번길 35 (용흥동. 대흥중학교),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.04530538,129.3539589,2023-03-22
B000010763,길안중학교,중학교,1960-04-11,공립,본교,운영,경상북도 안동시 길안면 천지리 731-1,경상북도 안동시 길안면 천지안길 71-3 (길안면. 길안중학교),8750000,경상북도교육청,8791000,경상북도안동교육지원청,2013-11-29,2022-10-06,36.45903834,128.8946102,2023-03-22
B000010738,김천석천중학교,중학교,1946-10-10,사립,본교,운영,경상북도 김천시 황금동 36-4,경상북도 김천시 남산공원길 128 (황금동.김천석천중학교),8750000,경상북도교육청,8781000,경상북도김천교육지원청,2013-11-29,2022-10-06,36.11757395,128.1220534,2023-03-22
B000010758,경안중학교,중학교,1961-03-07,사립,본교,운영,경상북도 안동시 송현동 599-1,경상북도 안동시 경동로 205-33 . 경안중학교 (송현동),8750000,경상북도교육청,8791000,경상북도안동교육지원청,2013-11-29,2022-10-06,36.57650803,128.6833866,2023-03-22
B000010926,성주중학교가천분교장,중학교,1953-05-26,공립,분교,운영,경상북도 성주군 가천면 창천리 861,경상북도 성주군 가천면 창천5길 13 (가천면),8750000,경상북도교육청,8931000,경상북도성주교육지원청,2013-11-29,2022-10-06,35.88671985,128.1601936,2023-03-22
B000010810,영천여자중학교,중학교,1960-04-12,공립,본교,운영,경상북도 영천시 화룡동 178-3,경상북도 영천시 상아탑길 28 (교촌동),8750000,경상북도교육청,8821000,경상북도영천교육지원청,2013-11-29,2022-10-06,35.96722562,128.9224925,2023-03-22
B000010840,용운중학교,중학교,1953-08-05,사립,본교,운영,경상북도 상주시 공성면 산현리 868-24,경상북도 상주시 공성면 문화마을길 23 (공성면.용운중고등학교),8750000,경상북도교육청,8831000,경상북도상주교육지원청,2013-11-29,2022-10-06,36.27931281,128.0942764,2023-03-22
B000010853,장산중학교,중학교,1994-03-01,공립,본교,운영,경상북도 경산시 사정동 59,경상북도 경산시 경산로 112 (사정동. 장산중학교),8750000,경상북도교육청,8851000,경상북도경산교육지원청,2013-11-29,2022-10-06,35.81897414,128.7303219,2023-03-22
B000010930,왜관중학교,중학교,1970-03-05,공립,본교,운영,경상북도 칠곡군 왜관읍 왜관리 724,경상북도 칠곡군 왜관읍 평장1길 34 (왜관읍. 왜관중학교),8750000,경상북도교육청,8941000,경상북도칠곡교육지원청,2013-11-29,2022-10-06,35.98533291,128.4045326,2023-03-22
B000010755,안동여자중학교,중학교,1942-05-01,공립,본교,운영,경상북도 안동시 법상동 1,경상북도 안동시 법상윗3길 30-42 (법상동. 안동여자중학교),8750000,경상북도교육청,8791000,경상북도안동교육지원청,2013-11-29,2022-10-06,36.57298365,128.7275002,2023-03-22
B000010863,용성중학교,중학교,1969-11-27,공립,본교,운영,경상북도 경산시 용성면 당리리 150-4,경상북도 경산시 용성면 원효로 1410 (용성면. 용성중학교),8750000,경상북도교육청,8851000,경상북도경산교육지원청,2013-11-29,2022-10-06,35.792593,128.8733966,2023-03-22
B000010839,낙운중학교,중학교,1973-03-16,공립,본교,운영,경상북도 상주시 낙동면 상촌리 650,경상북도 상주시 낙동면 삼봉로 472-20 . 낙운중학교(낙동면. 낙운중학교),8750000,경상북도교육청,8831000,경상북도상주교육지원청,2013-11-29,2022-10-06,36.37637874,128.2530359,2023-03-22
B000010740,문성중학교,중학교,1969-03-03,사립,본교,운영,경상북도 김천시 지좌동 604-2,경상북도 김천시 영남대로 1992-3 (지좌동. 문성중학교),8750000,경상북도교육청,8781000,경상북도김천교육지원청,2013-11-29,2022-10-06,36.11844595,128.1468769,2023-03-22
B000023821,대구가톨릭대학교사범대학부속무학중학교,중학교,1966-03-01,사립,본교,운영,경상북도 경산시 하양읍 도리리 76,경상북도 경산시 하양읍 금송로 71-11 무학중학교 (하양읍),8750000,경상북도교육청,8851000,경상북도경산교육지원청,2013-11-29,2022-10-06,35.92002869,128.8159912,2023-03-22
B000026416,지품천중학교,중학교,2017-03-01,공립,본교,운영,경상북도 김천시 대덕면 관기리 777,경상북도 김천시 대덕면 대덕로 731 . 지품천중학교 (대덕면),8750000,경상북도교육청,8781000,경상북도김천교육지원청,2013-11-29,2022-10-06,35.91764637,127.9631045,2023-03-22
B000024991,석적중학교,중학교,2021-03-01,공립,본교,운영,경상북도 칠곡군 석적읍 남율리 1190,경상북도 칠곡군 석적읍 남율로18길 10 . 석적중학교 (석적읍),8750000,경상북도교육청,8941000,경상북도칠곡교육지원청,2013-12-02,2022-10-06,36.06409306,128.4056548,2023-03-22
B000010687,양학중학교,중학교,1992-03-05,공립,본교,운영,경상북도 포항시 북구 득량동 205-6,경상북도 포항시 북구 이동로 63 (득량동. 양학중학교),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.03347484,129.3418898,2023-03-22
B000010938,동명중학교,중학교,1984-03-01,공립,본교,운영,경상북도 칠곡군 동명면 송산리 111,경상북도 칠곡군 동명면 백송로 797 (동명면),8750000,경상북도교육청,8941000,경상북도칠곡교육지원청,2013-11-29,2022-10-06,35.98517727,128.549309,2023-03-22
B000010757,길주중학교,중학교,1999-03-01,공립,본교,운영,경상북도 안동시 용상동 1536-1,경상북도 안동시 경동로 931 (용상동),8750000,경상북도교육청,8791000,경상북도안동교육지원청,2013-11-29,2022-10-06,36.5564808,128.7584217,2023-03-22
B000010941,대창중학교,중학교,1949-03-01,사립,본교,운영,경상북도 예천군 예천읍 노상리 1,경상북도 예천군 예천읍 대창학교길 33 (예천읍),8750000,경상북도교육청,8951000,경상북도예천교육지원청,2013-11-29,2022-10-06,36.6600499,128.4552453,2023-03-22
B000010852,경북체육중학교,중학교,1972-11-11,공립,본교,운영,경상북도 경산시 신교동 108-1,경상북도 경산시 경안로 43 (신교동),8750000,경상북도교육청,8851000,경상북도경산교육지원청,2013-11-29,2022-10-06,35.81222619,128.7380534,2023-03-22
B000010701,영일중학교,중학교,1951-09-15,사립,본교,운영,경상북도 포항시 남구 연일읍 동문리 47-1,경상북도 포항시 남구 연일읍 동문로 56 (연일읍),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,35.99552975,129.3534695,2023-03-22
B000010858,신상중학교,중학교,2009-03-01,공립,본교,운영,경상북도 경산시 진량읍 신상리 343-1,경상북도 경산시 진량읍 공단1로1길 36-8 . (구. 신상리 343-1),8750000,경상북도교육청,8851000,경상북도경산교육지원청,2013-11-29,2022-10-06,35.87468993,128.8219306,2023-03-22
B000010851,경산중학교,중학교,1946-11-01,공립,본교,운영,경상북도 경산시 계양동 112-3,경상북도 경산시 원효로 89 (계양동),8750000,경상북도교육청,8851000,경상북도경산교육지원청,2013-11-29,2022-10-06,35.82428626,128.7484647,2023-03-22
B000010960,울진중학교,중학교,1946-09-05,공립,본교,운영,경상북도 울진군 울진읍 연지리 822,경상북도 울진군 울진읍 연호로 39. 울진중학교(울진읍),8750000,경상북도교육청,8971000,경상북도울진교육지원청,2013-11-29,2022-10-06,36.99395651,129.4051086,2023-03-22
B000010899,수비중학교,중학교,1965-03-10,공립,본교,운영,경상북도 영양군 수비면 발리리 500,경상북도 영양군 수비면 낙동정맥로 2417 (수비면. 수비중고등학교),8750000,경상북도교육청,8891000,경상북도영양교육지원청,2013-11-29,2022-10-06,36.76502287,129.2037522,2023-03-22
B000023751,율곡중학교,중학교,2014-09-01,공립,본교,운영,경상북도 김천시 율곡동 647,경상북도 김천시 혁신4로 45 (율곡동. 율곡중학교),8750000,경상북도교육청,8781000,경상북도김천교육지원청,2013-11-29,2022-10-06,36.12191192,128.1859834,2023-03-22
B000010790,선산중학교,중학교,1946-09-25,공립,본교,운영,경상북도 구미시 선산읍 이문리 709,경상북도 구미시 선산읍 선상서로14길 19-20 (선산읍. 선산중학교),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.24079585,128.2924806,2023-03-22
B000023764,해마루중학교,중학교,2016-03-01,공립,본교,운영,경상북도 구미시 옥계동 921,경상북도 구미시 산호대로 . 951 (옥계동),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.13959681,128.4328884,2023-03-22
B000010958,평해중학교,중학교,1947-09-23,공립,본교,운영,경상북도 울진군 평해읍 평해리 413,경상북도 울진군 평해읍 평해7길 61-3 . 평해중학교 (평해읍. 평해중학교),8750000,경상북도교육청,8971000,경상북도울진교육지원청,2013-11-29,2022-10-06,36.72891434,129.4429677,2023-03-22
B000010916,성산중학교,중학교,1966-12-13,공립,본교,운영,경상북도 고령군 성산면 어곡리 122-1,경상북도 고령군 성산면 운성로 877 (성산면. 성산중학교),8750000,경상북도교육청,8921000,경상북도고령교육지원청,2013-11-29,2022-10-06,35.75092754,128.3619612,2023-03-22
B000010682,환호여자중학교,중학교,1991-03-09,공립,본교,운영,경상북도 포항시 북구 환호동 70,경상북도 포항시 북구 삼호로 480-6 (환호동),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.07188866,129.4018114,2023-03-22
B000010929,석전중학교,중학교,2003-03-05,공립,본교,운영,경상북도 칠곡군 왜관읍 석전리 505-1,경상북도 칠곡군 왜관읍 석전로7길 14 (왜관읍),8750000,경상북도교육청,8941000,경상북도칠곡교육지원청,2013-11-29,2022-10-06,36.00305954,128.4093092,2023-03-22
B000023850,양덕중학교,중학교,2018-03-01,공립,본교,운영,경상북도 포항시 북구 양덕동 2027,경상북도 포항시 북구 장량로241번길 22 . 양덕중학교 (양덕동),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.08420566,129.4071746,2023-03-22
B000007252,압량중학교,중학교,2019-03-01,공립,본교,운영,경상북도 경산시 압량읍 부적리 601,경상북도 경산시 압량읍 부적길 36-19 (압량면),8750000,경상북도교육청,8851000,경상북도경산교육지원청,2013-11-29,2022-10-06,35.84381785,128.7614826,2023-03-22
B000010766,웅부중학교,중학교,2018-03-07,공립,본교,운영,경상북도 안동시 도산면 온혜리 923,경상북도 안동시 도산면 온천로 620-4 (도산면),8750000,경상북도교육청,8791000,경상북도안동교육지원청,2013-11-29,2022-10-06,36.74887315,128.8234472,2023-03-22
B000025452,구미인덕중학교,중학교,2019-03-01,공립,본교,운영,경상북도 구미시 산동면 인덕리 1108,경상북도 구미시 산동읍 신당인덕3로 33 (산동읍. 구미인덕중학교),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.16233057,128.4387572,2023-03-22
B000010901,영덕여자중학교,중학교,1968-03-06,사립,본교,운영,경상북도 영덕군 영덕읍 덕곡리 106-1,경상북도 영덕군 영덕읍 영덕로 206 . 영덕여자중학교 (영덕읍),8750000,경상북도교육청,8901000,경상북도영덕교육지원청,2013-11-29,2022-10-06,36.4131736,129.3745519,2023-03-22
B000010815,신녕중학교,중학교,1951-09-05,공립,본교,운영,경상북도 영천시 신녕면 매양리 405,경상북도 영천시 신녕면 찰방길 8 (신녕면),8750000,경상북도교육청,8821000,경상북도영천교육지원청,2013-11-29,2022-10-06,36.04302173,128.7804921,2023-03-22
B000010759,경덕중학교,중학교,1952-06-08,사립,본교,운영,경상북도 안동시 태화동 598-1,경상북도 안동시 서악길 47 . 경덕중학교 (태화동),8750000,경상북도교육청,8791000,경상북도안동교육지원청,2013-11-29,2022-10-06,36.56002748,128.708754,2023-03-22
B000010953,청량중학교,중학교,2017-03-01,공립,본교,운영,경상북도 봉화군 명호면 도천리 264-2,경상북도 봉화군 명호면 양지마을길 14 (명호면),8750000,경상북도교육청,8961000,경상북도봉화교육지원청,2013-11-29,2022-10-06,36.86005258,128.8992053,2023-03-22
B000026318,울릉중학교,중학교,2020-03-01,공립,본교,운영,경상북도 울릉군 울릉읍 사동리 323,경상북도 울릉군 울릉읍 사동2길 219 (울릉읍. 울릉중학교),8750000,경상북도교육청,8981000,경상북도울릉교육지원청,2013-11-29,2022-10-06,37.47868772,130.8865591,2023-03-22
